Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Abner,br BRA,DF,Atl Paranaense,21,2000,23.4,43,28,26,14,3,24,38,63.2,14,18,3,15,39,82,54,0,Matches,7f9c5d2d
2,Adryelson,br BRA,DF,Botafogo (RJ),23,1998,16.1,17,12,14,3,0,8,10,80.0,2,18,12,6,22,39,99,0,Matches,e980e78d
3,Adson,br BRA,FWMF,Corinthians,21,2000,13.8,34,22,15,13,6,12,22,54.5,10,18,0,18,13,47,11,0,Matches,eda38706
4,Airton,br BRA,FW,Atl Goianiense,22,1999,19.3,32,24,17,8,7,15,39,38.5,24,17,5,12,10,42,12,0,Matches,751ef075
5,Carlos Alberto,br BRA,FWMF,América (MG),19,2002,1.7,1,1,1,0,0,1,4,25.0,3,2,0,2,4,5,0,1,Matches,08f48d96
6,Yuri Alberto,br BRA,FW,Corinthians,20,2001,16.1,12,8,1,6,5,6,13,46.2,7,15,0,15,2,14,8,0,Matches,65159211
7,Ale,br BRA,MF,América (MG),31,1990,21.4,50,21,20,22,8,19,37,51.4,18,32,5,27,28,78,36,1,Matches,b7d9347d
8,Alexandre Alemão,br BRA,FW,Internacional,23,1998,22.3,22,11,1,14,7,12,25,48.0,13,20,3,17,4,26,11,0,Matches,3ed2a79b
9,Alerrandro,br BRA,FW,Bragantino,22,2000,10.3,4,1,0,3,1,2,7,28.6,5,10,2,8,4,8,8,0,Matches,3415a44d
10,Alesson,br BRA,MFFW,Cuiabá,22,1999,11.4,19,9,8,8,3,11,33,33.3,22,20,1,19,3,22,3,0,Matches,611e984e
11,Alex,br BRA,DF,Santos,22,1999,3.7,4,3,2,2,0,3,4,75.0,1,8,8,0,8,12,15,0,Matches,7367baf7
12,Caio Alexandre,br BRA,MF,Fortaleza,22,1999,11.0,39,22,19,17,3,21,41,51.2,20,14,4,10,11,50,14,0,Matches,08ac23b7
13,Matheus Alexandre,br BRA,DF,Coritiba,22,1999,15.6,35,22,25,9,1,23,35,65.7,12,16,8,8,30,65,36,0,Matches,0212e748
14,Alexsander,br BRA,DF,Fluminense,18,2003,2.5,5,1,3,0,2,3,6,50.0,3,5,0,5,6,11,2,0,Matches,b13e7a78
15,Alisson,br BRA,MFFW,São Paulo,28,1993,10.5,15,9,4,9,2,10,22,45.5,12,10,1,9,5,20,8,0,Matches,99139fa4
16,Allan,br BRA,MF,Atlético Mineiro,24,1997,30.4,47,30,21,21,5,24,50,48.0,26,24,7,17,25,72,44,1,Matches,b15e93aa
17,Guilherme Almeida Augusto,br BRA,DF,Bragantino,29,1993,1.0,2,2,1,1,0,1,3,33.3,2,2,0,2,2,4,1,0,Matches,8eecd5f9
18,Henrique Almeida,br BRA,FW,América (MG),30,1991,16.6,18,11,4,9,5,4,15,26.7,11,7,0,7,3,21,9,0,Matches,8aa2f2e3
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,28,1993,28.9,24,14,17,6,1,13,29,44.8,16,28,17,11,28,52,66,0,Matches,b18a3023
20,Diego Alves,br BRA,GK,Flamengo,36,1985,4.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,12421a7c
21,Felipe Alves Raymundo,br BRA,GK,São Paulo,33,1988,17.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,1,Matches,7fbe8689
22,Felipe Alves Raymundo,br BRA,GK,Juventude,33,1988,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,7fbe8689
23,Rodrigo Alves Soares,br BRA,DF,Juventude,29,1992,31.0,38,25,25,9,4,29,53,54.7,24,22,5,17,13,51,77,1,Matches,4c1b67d6
24,Anderson,br BRA,GK,Atl Paranaense,23,1998,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,1,Matches,29d862d4
25,Thonny Anderson,br BRA,MFFW,Coritiba,24,1997,8.1,25,17,6,14,5,12,29,41.4,17,9,4,5,5,30,9,0,Matches,7a7c9837
26,André,br BRA,MF,Fluminense,20,2001,33.5,55,38,22,30,3,24,59,40.7,35,36,12,24,36,91,20,1,Matches,ec604e2c
27,André,br BRA,FW,Cuiabá,31,1990,8.1,4,4,1,3,0,0,8,0.0,8,6,0,6,3,7,4,0,Matches,13b52dec
28,Andrey,br BRA,MF,Avaí,19,2002,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,89c28d9f
29,Brayan Angulo,ec ECU,FWMF,Santos,26,1995,5.3,4,2,2,2,0,1,6,16.7,5,6,1,5,1,5,4,0,Matches,37fdc62b
30,Apodi,br BRA,MFFW,Goiás,35,1986,10.1,13,5,9,2,2,5,12,41.7,7,7,3,4,4,17,8,0,Matches,affbe6bc
31,Guilherme Arana,br BRA,DF,Atlético Mineiro,24,1997,19.1,22,16,13,7,2,9,16,56.3,7,15,6,9,10,32,25,0,Matches,2b15a82a
32,Willian Arão,br BRA,MFDF,Flamengo,29,1992,10.2,11,4,7,2,2,7,14,50.0,7,13,10,3,17,28,19,1,Matches,f47a530a
33,Michel Araujo,uy URU,FWMF,Fluminense,25,1996,0.9,5,3,2,2,1,2,4,50.0,2,2,0,2,0,5,0,0,Matches,1159e4ae
34,Robert Arboleda,ec ECU,DF,São Paulo,30,1991,8.0,8,6,6,2,0,6,7,85.7,1,10,7,3,6,14,52,0,Matches,269dbfc6
35,Jhon Arias,co COL,FWMF,Fluminense,24,1997,29.6,48,31,14,19,15,21,41,51.2,20,33,2,31,7,55,19,0,Matches,86d96066
36,Arthur,br BRA,MFDF,América (MG),18,2003,2.0,5,3,2,2,1,1,9,11.1,8,4,1,3,1,6,7,0,Matches,8a958856
37,Arthur,br BRA,FW,Corinthians,18,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,e93fed32
38,Artur,br BRA,FWMF,Bragantino,23,1998,31.0,29,18,12,11,6,13,34,38.2,21,32,8,24,15,44,16,0,Matches,105132cd
39,Eduard Atuesta,co COL,MF,Palmeiras,24,1997,7.3,12,7,4,7,1,3,17,17.6,14,10,1,9,10,22,2,0,Matches,60990b81
40,Felipe Augusto,br BRA,FW,Corinthians,17,2004,0.8,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,Matches,1f9cbd0b
41,Leo Augusto Pereira,br BRA,FWMF,Atl Goianiense,21,2000,12.6,24,16,9,12,3,8,29,27.6,21,17,2,15,10,34,5,0,Matches,a3818875
42,Renato Augusto,br BRA,MF,Corinthians,33,1988,15.6,30,15,10,11,9,10,24,41.7,14,13,1,12,14,44,9,1,Matches,83a6367a
43,Auremir,br BRA,MF,Goiás,30,1991,16.4,46,29,31,15,0,13,26,50.0,13,14,7,7,26,72,27,0,Matches,3a2e6d70
44,Auro,br BRA,DF,Santos,26,1996,4.3,9,6,5,3,1,5,10,50.0,5,3,1,2,3,12,11,0,Matches,b234cb0e
45,Danilo Avelar,br BRA,DF,América (MG),32,1989,9.6,11,8,7,3,1,5,14,35.7,9,11,4,7,16,27,36,1,Matches,eacb45fd
46,Felipe Azevedo,br BRA,MFFW,América (MG),35,1987,25.3,36,18,14,13,9,12,40,30.0,28,31,2,29,14,50,23,1,Matches,4a22b15a
47,Matheus Babi,br BRA,FWMF,Atl Paranaense,24,1997,0.9,1,1,0,0,1,0,0,,0,0,0,0,0,1,3,0,Matches,f48cff2c
48,Pedro Bahia,br BRA,MF,Goiás,19,2002,0.3,,0,,,,,,,,,,,0,,,,Matches,3964a23d
49,Fabrício Baiano,br BRA,FWMF,Fortaleza,29,1992,0.6,5,2,2,3,0,1,2,50.0,1,0,0,0,1,6,4,0,Matches,d8a48dad
50,Fabián Balbuena,py PAR,DF,Corinthians,30,1991,12.0,15,11,12,3,0,6,14,42.9,8,12,10,2,12,27,58,0,Matches,3626f7d9
51,Robson Bambu,br BRA,DF,Corinthians,24,1997,4.4,10,7,6,4,0,6,11,54.5,5,5,2,3,8,18,27,0,Matches,d4fa7d01
52,Léo Baptistão,br BRA,FWMF,Santos,29,1992,12.6,20,9,5,10,5,8,25,32.0,17,13,3,10,7,27,17,0,Matches,35f6db55
53,Gabriel Baralhas,br BRA,MF,Atl Goianiense,23,1998,24.0,52,37,26,21,5,19,59,32.2,40,30,10,20,35,87,29,0,Matches,b7838aad
54,Danilo Barbosa,br BRA,MF,Botafogo (RJ),25,1996,1.8,4,3,0,3,1,4,5,80.0,1,6,4,2,5,9,8,0,Matches,0557ff4f
55,Gabriel Barbosa,br BRA,FW,Flamengo,25,1996,22.7,10,5,2,5,3,5,18,27.8,13,0,0,0,2,12,2,0,Matches,72d0e1b6
56,Lucas Barbosa,br BRA,FWMF,Santos,20,2001,8.6,40,19,14,20,6,15,40,37.5,25,21,3,18,10,50,10,0,Matches,a28eac7e
57,Danilo Barcelos,br BRA,DFMF,Goiás,30,1991,11.4,20,17,13,5,2,8,20,40.0,12,12,5,7,11,31,28,0,Matches,26f4ef39
58,Leandro Barcia,uy URU,FW,Atl Goianiense,29,1992,0.3,2,2,1,1,0,2,3,66.7,1,0,0,0,2,4,1,0,Matches,11d91ea7
59,Barreto,br BRA,MF,Botafogo (RJ),26,1995,0.3,3,2,3,0,0,2,2,100.0,0,0,0,0,0,3,0,0,Matches,de08d383
60,Fellipe Bastos,br BRA,MF,Goiás,31,1990,9.6,23,11,6,14,3,9,28,32.1,19,15,2,13,11,34,24,0,Matches,9b99eae0
61,Ramiro Benetti,br BRA,MFFW,Corinthians,28,1993,6.1,13,7,5,7,1,4,8,50.0,4,9,1,8,6,19,5,0,Matches,96d14fe7
62,Martín Benítez,ar ARG,MF,América (MG),27,1994,8.4,7,6,2,2,3,3,11,27.3,8,12,1,11,5,12,7,0,Matches,c122e34e
63,Bento,br BRA,GK,Atl Paranaense,22,1999,33.0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,11,2,Matches,5d699228
64,Lucas Beraldo,br BRA,DF,São Paulo,18,2003,1.4,4,4,4,0,0,2,4,50.0,2,0,0,0,2,6,6,0,Matches,b8aedf06
65,Eduardo de Biasi,br BRA,MF,Avaí,25,1997,20.8,47,19,18,27,2,25,58,43.1,33,12,4,8,12,59,16,0,Matches,828a04fa
66,Pedro Bicalho,br BRA,MF,Palmeiras,20,2001,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches,f35cb8a4
67,Raul Bicalho,br BRA,DF,Corinthians,22,1999,18.7,28,15,23,5,0,16,25,64.0,9,20,12,8,32,60,63,1,Matches,79af412b
68,Guilherme Biro,br BRA,FW,Corinthians,17,2004,1.2,5,2,1,2,2,2,5,40.0,3,2,0,2,0,5,0,0,Matches,e38c2c76
69,Guilherme Biro,br BRA,DF,Coritiba,21,2000,8.2,15,12,11,3,1,8,12,66.7,4,5,1,4,14,29,19,0,Matches,02c7236e
70,Guilherme Bissoli,br BRA,FW,Avaí,24,1998,27.1,22,14,3,9,10,10,35,28.6,25,21,2,19,13,35,23,0,Matches,c9024e62
71,Marcelo Boeck,br BRA,GK,Fortaleza,37,1984,13.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,Matches,069cb4f8
72,Vinícius Boff,br BRA,MF,Cuiabá,22,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches,badaed00
73,Ângelo Borges,br BRA,FWMF,Santos,17,2004,17.0,14,6,3,6,5,3,10,30.0,7,18,0,18,6,20,6,0,Matches,737945d9
74,Daniel Borges,br BRA,DF,Botafogo (RJ),28,1993,20.8,38,18,27,11,0,20,43,46.5,23,13,3,10,17,55,45,0,Matches,71879f82
75,Douglas Borges,br BRA,GK,Botafogo (RJ),31,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,55196057
76,Marllon Borges,br BRA,DF,Cuiabá,29,1992,33.4,58,31,42,16,0,25,42,59.5,17,44,29,15,35,93,145,1,Matches,d0b29bbd
77,Gabriel Boschilia,br BRA,MFFW,Internacional,25,1996,0.6,1,1,0,1,0,0,4,0.0,4,1,0,1,0,1,1,0,Matches,e90af77c
78,Gabriel Boschilia,br BRA,MF,Coritiba,25,1996,5.3,6,3,3,1,2,3,11,27.3,8,3,2,1,6,12,2,0,Matches,e90af77c
79,Lucas Braga,br BRA,FWMF,Santos,25,1996,23.1,23,19,10,7,6,11,24,45.8,13,19,2,17,15,38,21,0,Matches,8a0a73ad
80,David Braz,br BRA,DF,Fluminense,34,1987,7.9,9,5,7,2,0,5,8,62.5,3,8,5,3,7,16,43,0,Matches,9313b408
81,Breno,br BRA,FW,Palmeiras,26,1996,3.7,8,2,1,3,4,2,3,66.7,1,1,0,1,1,9,3,0,Matches,e0016d00
82,Bressan,br BRA,DF,Avaí,29,1993,20.6,19,7,12,6,1,9,23,39.1,14,25,19,6,22,41,82,0,Matches,3db1684c
83,Emanuel Brítez,ar ARG,DF,Fortaleza,29,1992,20.0,48,32,28,18,2,31,45,68.9,14,23,10,13,30,78,77,0,Matches,fb29d05d
84,Bruninho,br BRA,MFFW,Juventude,21,2000,1.3,1,0,0,1,0,1,3,33.3,2,1,0,1,1,2,0,0,Matches,f7a3e78a
85,Bruno,br BRA,MF,Bragantino,18,2003,0.4,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,Matches,ad8c3404
86,Fabrício Bruno,br BRA,DF,Flamengo,25,1996,13.0,13,6,12,1,0,6,11,54.5,5,3,3,0,10,23,52,0,Matches,470d197b
87,Ricardo Bueno,br BRA,FW,Juventude,34,1987,9.0,10,8,1,7,2,2,12,16.7,10,8,2,6,0,10,15,0,Matches,768cbb2d
88,Vitor Bueno,br BRA,MFFW,Atl Paranaense,27,1994,12.5,8,5,3,5,0,2,13,15.4,11,15,2,13,7,15,13,0,Matches,5752f96d
89,Busanello,br BRA,DF,Juventude,23,1998,3.2,6,4,5,1,0,3,4,75.0,1,2,2,0,8,14,3,0,Matches,788c4780
90,Fabricio Bustos,ar ARG,DF,Internacional,25,1996,29.7,54,37,39,12,3,35,54,64.8,19,20,9,11,31,85,76,1,Matches,82549f54
