Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
1,Abner,br BRA,DF,Atl Paranaense,21,2000,23.4,6,0,0,26,12,1,49,39,28,0,0,0,149,21,28,42.9,Matches,7f9c5d2d
2,Adryelson,br BRA,DF,Botafogo (RJ),23,1998,16.1,1,0,0,10,4,2,0,22,12,0,0,1,56,76,34,69.1,Matches,e980e78d
3,Adson,br BRA,FWMF,Corinthians,21,2000,13.8,2,0,0,25,20,3,15,13,22,0,0,0,54,8,19,29.6,Matches,eda38706
4,Airton,br BRA,FW,Atl Goianiense,22,1999,19.3,3,0,0,33,24,1,81,10,24,0,0,0,60,21,23,47.7,Matches,751ef075
5,Carlos Alberto,br BRA,FWMF,América (MG),19,2002,1.7,1,0,0,1,1,0,3,4,1,0,0,0,5,4,9,30.8,Matches,08f48d96
6,Yuri Alberto,br BRA,FW,Corinthians,20,2001,16.1,4,1,1,26,33,7,9,2,8,0,0,0,37,37,49,43.0,Matches,65159211
7,Ale,br BRA,MF,América (MG),31,1990,21.4,2,1,0,46,50,0,23,28,21,0,2,0,184,27,29,48.2,Matches,b7d9347d
8,Alexandre Alemão,br BRA,FW,Internacional,23,1998,22.3,3,0,0,56,65,2,12,4,11,3,0,0,47,53,81,39.6,Matches,3ed2a79b
9,Alerrandro,br BRA,FW,Bragantino,22,2000,10.3,3,0,0,11,15,5,2,4,1,0,0,0,20,10,29,25.6,Matches,3415a44d
10,Alesson,br BRA,MFFW,Cuiabá,22,1999,11.4,3,0,0,18,7,0,33,3,9,0,0,0,41,16,27,37.2,Matches,611e984e
11,Alex,br BRA,DF,Santos,22,1999,3.7,1,0,0,2,4,0,0,8,3,0,0,0,19,9,4,69.2,Matches,7367baf7
12,Caio Alexandre,br BRA,MF,Fortaleza,22,1999,11.0,3,1,1,23,12,0,5,11,22,0,0,0,82,5,11,31.3,Matches,08ac23b7
13,Matheus Alexandre,br BRA,DF,Coritiba,22,1999,15.6,5,0,0,18,5,1,39,30,22,0,0,0,72,22,20,52.4,Matches,0212e748
14,Alexsander,br BRA,DF,Fluminense,18,2003,2.5,0,0,0,2,3,0,5,6,1,0,0,0,14,2,2,50.0,Matches,b13e7a78
15,Alisson,br BRA,MFFW,São Paulo,28,1993,10.5,5,0,0,14,17,0,33,5,9,0,0,0,42,10,13,43.5,Matches,99139fa4
16,Allan,br BRA,MF,Atlético Mineiro,24,1997,30.4,10,0,0,47,26,1,11,25,30,0,1,0,168,16,6,72.7,Matches,b15e93aa
17,Guilherme Almeida Augusto,br BRA,DF,Bragantino,29,1993,1.0,0,0,0,2,3,0,3,2,2,0,0,0,5,0,0,,Matches,8eecd5f9
18,Henrique Almeida,br BRA,FW,América (MG),30,1991,16.6,7,0,0,38,13,13,5,3,11,1,0,0,40,24,54,30.8,Matches,8aa2f2e3
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,28,1993,28.9,4,0,0,17,8,1,7,28,14,0,2,0,148,76,36,67.9,Matches,b18a3023
20,Diego Alves,br BRA,GK,Flamengo,36,1985,4.7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches,12421a7c
21,Felipe Alves Raymundo,br BRA,GK,São Paulo,33,1988,17.0,1,0,0,1,0,0,0,0,0,0,1,0,30,2,1,66.7,Matches,7fbe8689
22,Felipe Alves Raymundo,br BRA,GK,Juventude,33,1988,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,7fbe8689
