Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
1,Abner,br BRA,DF,Atl Paranaense,21,2000,23.4,1480,84,432,737,321,23,1480,15,9,60.0,6,40.0,717,3076,1620,29,25,5,17,12,812,68,Matches,7f9c5d2d
2,Adryelson,br BRA,DF,Botafogo (RJ),23,1998,16.1,857,141,489,335,36,25,857,2,2,100.0,0,0.0,410,1884,827,3,1,1,6,0,462,2,Matches,e980e78d
3,Adson,br BRA,FWMF,Corinthians,21,2000,13.8,820,10,83,379,372,45,820,77,43,55.8,29,37.7,558,3671,1839,56,42,13,41,20,655,109,Matches,eda38706
4,Airton,br BRA,FW,Atl Goianiense,22,1999,19.3,659,19,106,235,338,71,659,62,31,50.0,26,41.9,380,3729,2239,87,50,22,38,24,444,126,Matches,751ef075
5,Carlos Alberto,br BRA,FWMF,América (MG),19,2002,1.7,48,0,5,18,29,9,48,3,0,0.0,2,66.7,28,284,182,8,3,3,7,3,29,10,Matches,08f48d96
6,Yuri Alberto,br BRA,FW,Corinthians,20,2001,16.1,597,13,29,261,313,71,597,32,7,21.9,21,65.6,336,1509,589,28,18,9,59,24,472,115,Matches,65159211
7,Ale,br BRA,MF,América (MG),31,1990,21.4,1369,59,281,786,320,31,1369,29,14,48.3,11,37.9,789,4878,2075,38,33,3,43,19,855,64,Matches,b7d9347d
8,Alexandre Alemão,br BRA,FW,Internacional,23,1998,22.3,750,11,44,336,380,115,750,82,58,70.7,19,23.2,480,2469,878,38,21,23,107,52,602,164,Matches,3ed2a79b
9,Alerrandro,br BRA,FW,Bragantino,22,2000,10.3,270,9,21,112,139,49,270,9,5,55.6,4,44.4,160,709,197,5,4,1,27,15,181,55,Matches,3415a44d
10,Alesson,br BRA,MFFW,Cuiabá,22,1999,11.4,439,4,57,178,212,37,439,51,19,37.3,31,60.8,274,1803,842,31,20,7,24,21,300,101,Matches,611e984e
11,Alex,br BRA,DF,Santos,22,1999,3.7,207,39,112,94,2,2,207,1,0,0.0,0,0.0,128,622,318,0,0,0,3,1,130,0,Matches,7367baf7
12,Caio Alexandre,br BRA,MF,Fortaleza,22,1999,11.0,707,24,162,476,75,9,707,8,3,37.5,3,37.5,437,2787,1825,28,12,2,16,5,461,16,Matches,08ac23b7
13,Matheus Alexandre,br BRA,DF,Coritiba,22,1999,15.6,868,56,295,399,181,7,868,18,10,55.6,8,44.4,451,2472,1436,30,10,1,17,5,469,69,Matches,0212e748
14,Alexsander,br BRA,DF,Fluminense,18,2003,2.5,179,9,58,69,55,5,179,13,4,30.8,6,46.2,108,798,503,9,8,3,2,6,101,11,Matches,b13e7a78
15,Alisson,br BRA,MFFW,São Paulo,28,1993,10.5,539,11,46,282,218,27,539,12,5,41.7,4,33.3,334,1708,867,29,22,6,10,15,410,71,Matches,99139fa4
16,Allan,br BRA,MF,Atlético Mineiro,24,1997,30.4,2310,84,563,1468,298,9,2310,35,22,62.9,11,31.4,1494,8520,4264,51,49,1,28,9,1765,20,Matches,b15e93aa
17,Guilherme Almeida Augusto,br BRA,DF,Bragantino,29,1993,1.0,51,2,13,26,12,1,51,2,2,100.0,0,0.0,29,227,132,4,3,1,2,0,28,3,Matches,8eecd5f9
18,Henrique Almeida,br BRA,FW,América (MG),30,1991,16.6,554,10,36,243,278,79,553,42,20,47.6,19,45.2,303,1336,493,17,19,9,48,38,390,89,Matches,8aa2f2e3
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,28,1993,28.9,2320,271,1042,1150,138,37,2320,10,9,90.0,1,10.0,1378,6397,3724,17,24,1,9,4,1625,14,Matches,b18a3023
20,Diego Alves,br BRA,GK,Flamengo,36,1985,4.7,108,94,108,0,0,0,108,0,0,,0,,64,334,206,0,0,0,0,0,54,0,Matches,12421a7c
21,Felipe Alves Raymundo,br BRA,GK,São Paulo,33,1988,17.0,608,491,606,2,0,0,608,0,0,,0,,343,1694,936,0,0,0,2,0,285,0,Matches,7fbe8689
22,Felipe Alves Raymundo,br BRA,GK,Juventude,33,1988,1.0,41,34,41,0,0,0,41,0,0,,0,,21,120,41,0,0,0,0,0,15,0,Matches,7fbe8689
23,Rodrigo Alves Soares,br BRA,DF,Juventude,29,1992,31.0,1903,109,672,834,413,16,1903,50,28,56.0,22,44.0,1042,5294,2567,44,32,4,29,11,1184,99,Matches,4c1b67d6
24,Anderson,br BRA,GK,Atl Paranaense,23,1998,5.0,151,127,150,1,0,0,151,2,1,50.0,1,50.0,66,502,345,0,0,0,0,0,35,0,Matches,29d862d4
25,Thonny Anderson,br BRA,MFFW,Coritiba,24,1997,8.1,490,11,59,240,198,22,490,42,26,61.9,14,33.3,281,1378,675,20,19,5,26,15,343,45,Matches,7a7c9837
26,André,br BRA,MF,Fluminense,20,2001,33.5,2767,134,762,1650,386,7,2767,102,73,71.6,28,27.5,1873,10029,6081,71,71,2,40,29,2167,36,Matches,ec604e2c
27,André,br BRA,FW,Cuiabá,31,1990,8.1,256,4,16,136,109,22,255,22,8,36.4,13,59.1,141,711,277,8,6,1,26,8,177,34,Matches,13b52dec
28,Andrey,br BRA,MF,Avaí,19,2002,0.3,8,0,4,2,2,0,8,0,0,,0,,5,24,20,1,0,0,1,0,6,1,Matches,89c28d9f
29,Brayan Angulo,ec ECU,FWMF,Santos,26,1995,5.3,161,5,15,85,63,21,161,3,2,66.7,1,33.3,67,276,119,1,5,1,6,8,109,25,Matches,37fdc62b
30,Apodi,br BRA,MFFW,Goiás,35,1986,10.1,252,10,69,90,101,26,252,16,4,25.0,12,75.0,132,940,427,17,14,2,28,6,148,41,Matches,affbe6bc
31,Guilherme Arana,br BRA,DF,Atlético Mineiro,24,1997,19.1,1687,33,394,816,494,35,1687,27,17,63.0,9,33.3,1055,5254,2880,60,49,8,26,4,1196,110,Matches,2b15a82a
32,Willian Arão,br BRA,MFDF,Flamengo,29,1992,10.2,675,44,176,441,62,15,675,3,3,100.0,0,0.0,421,1703,979,2,2,0,4,1,472,11,Matches,f47a530a
33,Michel Araujo,uy URU,FWMF,Fluminense,25,1996,0.9,100,1,20,48,34,4,100,8,7,87.5,1,12.5,70,395,183,6,3,3,3,9,85,9,Matches,1159e4ae
34,Robert Arboleda,ec ECU,DF,São Paulo,30,1991,8.0,523,86,276,229,19,16,523,0,0,,0,,272,1323,739,1,0,0,2,1,322,2,Matches,269dbfc6
35,Jhon Arias,co COL,FWMF,Fluminense,24,1997,29.6,2193,34,278,914,1031,90,2192,136,72,52.9,52,38.2,1433,8406,4425,138,102,27,73,79,1655,266,Matches,86d96066
36,Arthur,br BRA,MFDF,América (MG),18,2003,2.0,132,6,26,52,55,2,132,10,2,20.0,7,70.0,73,373,147,5,2,0,11,7,66,11,Matches,8a958856
37,Arthur,br BRA,FW,Corinthians,18,2003,0.0,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,e93fed32
38,Artur,br BRA,FWMF,Bragantino,23,1998,31.0,1512,16,149,547,837,106,1512,72,37,51.4,31,43.1,988,5773,2628,74,58,28,74,37,1026,266,Matches,105132cd
39,Eduard Atuesta,co COL,MF,Palmeiras,24,1997,7.3,434,10,61,215,160,28,434,28,15,53.6,12,42.9,254,1356,680,20,12,7,16,13,286,52,Matches,60990b81
40,Felipe Augusto,br BRA,FW,Corinthians,17,2004,0.8,8,0,1,5,2,0,8,0,0,,0,,9,22,10,0,0,0,3,2,10,0,Matches,1f9cbd0b
