Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Abner,br BRA,DF,Atl Paranaense,21,2000,23.4,1,13,3,23.1,0.56,0.13,0.08,0.33,21.0,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches,7f9c5d2d
2,Adryelson,br BRA,DF,Botafogo (RJ),23,1998,16.1,0,15,4,26.7,0.93,0.25,0.00,0.00,10.9,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches,e980e78d
3,Adson,br BRA,FWMF,Corinthians,21,2000,13.8,3,27,8,29.6,1.96,0.58,0.11,0.38,18.5,0,0,0,2.6,2.6,0.10,+0.4,+0.4,Matches,eda38706
4,Airton,br BRA,FW,Atl Goianiense,22,1999,19.3,2,36,13,36.1,1.86,0.67,0.06,0.15,17.2,0,0,0,3.8,3.8,0.10,-1.8,-1.8,Matches,751ef075
5,Carlos Alberto,br BRA,FWMF,América (MG),19,2002,1.7,0,7,3,42.9,4.04,1.73,0.00,0.00,15.7,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches,08f48d96
6,Yuri Alberto,br BRA,FW,Corinthians,20,2001,16.1,8,49,20,40.8,3.04,1.24,0.16,0.40,16.3,0,0,0,5.9,5.9,0.12,+2.1,+2.1,Matches,65159211
7,Ale,br BRA,MF,América (MG),31,1990,21.4,2,23,5,21.7,1.07,0.23,0.09,0.40,17.1,0,0,0,1.9,1.9,0.08,+0.1,+0.1,Matches,b7d9347d
8,Alexandre Alemão,br BRA,FW,Internacional,23,1998,22.3,8,49,19,38.8,2.20,0.85,0.16,0.42,14.3,0,0,0,6.5,6.5,0.13,+1.5,+1.5,Matches,3ed2a79b
9,Alerrandro,br BRA,FW,Bragantino,22,2000,10.3,6,41,18,43.9,3.97,1.74,0.15,0.33,14.6,0,0,0,5.2,5.2,0.13,+0.8,+0.8,Matches,3415a44d
10,Alesson,br BRA,MFFW,Cuiabá,22,1999,11.4,2,22,9,40.9,1.93,0.79,0.09,0.22,15.6,0,0,0,2.6,2.6,0.12,-0.6,-0.6,Matches,611e984e
11,Alex,br BRA,DF,Santos,22,1999,3.7,1,2,2,100.0,0.54,0.54,0.50,0.50,9.5,0,0,0,0.2,0.2,0.08,+0.8,+0.8,Matches,7367baf7
12,Caio Alexandre,br BRA,MF,Fortaleza,22,1999,11.0,1,6,1,16.7,0.54,0.09,0.17,1.00,21.5,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches,08ac23b7
13,Matheus Alexandre,br BRA,DF,Coritiba,22,1999,15.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0212e748
14,Alexsander,br BRA,DF,Fluminense,18,2003,2.5,0,2,1,50.0,0.80,0.40,0.00,0.00,31.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,b13e7a78
15,Alisson,br BRA,MFFW,São Paulo,28,1993,10.5,1,17,6,35.3,1.62,0.57,0.06,0.17,18.8,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches,99139fa4
16,Allan,br BRA,MF,Atlético Mineiro,24,1997,30.4,0,34,12,35.3,1.12,0.40,0.00,0.00,28.6,0,0,0,0.9,0.9,0.03,-0.9,-0.9,Matches,b15e93aa
17,Guilherme Almeida Augusto,br BRA,DF,Bragantino,29,1993,1.0,0,1,0,0.0,1.00,0.00,0.00,,13.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,8eecd5f9
18,Henrique Almeida,br BRA,FW,América (MG),30,1991,16.6,6,55,23,41.8,3.31,1.38,0.11,0.26,16.0,0,0,1,6.7,6.0,0.11,-0.7,0.0,Matches,8aa2f2e3
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,28,1993,28.9,0,12,1,8.3,0.42,0.03,0.00,0.00,18.2,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches,b18a3023
20,Diego Alves,br BRA,GK,Flamengo,36,1985,4.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,12421a7c
21,Felipe Alves Raymundo,br BRA,GK,São Paulo,33,1988,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7fbe8689
22,Felipe Alves Raymundo,br BRA,GK,Juventude,33,1988,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7fbe8689
23,Rodrigo Alves Soares,br BRA,DF,Juventude,29,1992,31.0,1,13,4,30.8,0.42,0.13,0.08,0.25,25.2,0,0,0,0.5,0.5,0.04,+0.5,+0.5,Matches,4c1b67d6
24,Anderson,br BRA,GK,Atl Paranaense,23,1998,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,29d862d4
25,Thonny Anderson,br BRA,MFFW,Coritiba,24,1997,8.1,0,19,1,5.3,2.35,0.12,0.00,0.00,20.5,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches,7a7c9837
26,André fluminense,br BRA,MF,Fluminense,20,2001,33.5,1,28,10,35.7,0.84,0.30,0.04,0.10,27.9,0,0,0,1.0,1.0,0.04,0.0,0.0,Matches,ec604e2c
28,Andrey,br BRA,MF,Avaí,19,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,89c28d9f
29,Brayan Angulo,ec ECU,FWMF,Santos,26,1995,5.3,2,10,4,40.0,1.88,0.75,0.20,0.50,11.7,0,0,0,2.9,2.9,0.29,-0.9,-0.9,Matches,37fdc62b
30,Apodi,br BRA,MFFW,Goiás,35,1986,10.1,1,17,4,23.5,1.69,0.40,0.06,0.25,17.3,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Matches,affbe6bc
31,Guilherme Arana,br BRA,DF,Atlético Mineiro,24,1997,19.1,0,41,6,14.6,2.14,0.31,0.00,0.00,22.3,1,0,0,1.6,1.6,0.04,-1.6,-1.6,Matches,2b15a82a
32,Willian Arão,br BRA,MFDF,Flamengo,29,1992,10.2,2,12,6,50.0,1.17,0.59,0.17,0.33,15.2,0,0,0,1.2,1.2,0.10,+0.8,+0.8,Matches,f47a530a
33,Michel Araujo,uy URU,FWMF,Fluminense,25,1996,0.9,2,2,2,100.0,2.17,2.17,1.00,1.00,10.6,0,0,0,0.8,0.8,0.41,+1.2,+1.2,Matches,1159e4ae
34,Robert Arboleda,ec ECU,DF,São Paulo,30,1991,8.0,0,10,2,20.0,1.25,0.25,0.00,0.00,9.9,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,269dbfc6
35,Jhon Arias,co COL,FWMF,Fluminense,24,1997,29.6,7,40,14,35.0,1.35,0.47,0.15,0.43,19.3,5,1,1,3.4,2.7,0.07,+3.6,+3.3,Matches,86d96066
36,Arthur,br BRA,MFDF,América (MG),18,2003,2.0,0,3,0,0.0,1.52,0.00,0.00,,24.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,8a958856
37,Arthur,br BRA,FW,Corinthians,18,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e93fed32
38,Artur,br BRA,FWMF,Bragantino,23,1998,31.0,6,81,25,30.9,2.62,0.81,0.07,0.24,18.9,4,0,0,6.4,6.4,0.08,-0.4,-0.4,Matches,105132cd
39,Eduard Atuesta,co COL,MF,Palmeiras,24,1997,7.3,1,19,7,36.8,2.60,0.96,0.05,0.14,20.1,1,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches,60990b81
40,Felipe Augusto,br BRA,FW,Corinthians,17,2004,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1f9cbd0b
41,Leo Augusto Pereira,br BRA,FWMF,Atl Goianiense,21,2000,12.6,1,22,5,22.7,1.75,0.40,0.05,0.20,18.4,0,0,0,2.2,2.2,0.10,-1.2,-1.2,Matches,a3818875
42,Renato Augusto,br BRA,MF,Corinthians,33,1988,15.6,1,35,10,28.6,2.25,0.64,0.03,0.10,22.6,1,0,0,1.4,1.4,0.04,-0.4,-0.4,Matches,83a6367a
43,Auremir,br BRA,MF,Goiás,30,1991,16.4,0,7,2,28.6,0.43,0.12,0.00,0.00,20.8,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,3a2e6d70
44,Auro,br BRA,DF,Santos,26,1996,4.3,0,2,0,0.0,0.47,0.00,0.00,,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,b234cb0e
